Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
217,"Digital Analytical Balance (0.0001 g / 220 g)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Analytical 4-Decimal","Internal calibration, draft shield, 0.1 mg readability."
218,"Precision Top Loading Balance (0.01 g / 1200 g)","Equipment","Electronic","Electronic","3","units","Cupboard 1 (40)","Precision 2-Decimal","Dual range top pan digital balance."
219,"Digital Benchtop pH Meter with Glass Electrode","Equipment","Electronic","Electronic","3","units","Cupboard 1 (40)","pH/mV/Temp","Automatic temperature compensation (ATC), 3-point calibration."
220,"Portable Handheld pH Meter (Waterproof IP67)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Field Portable","Battery powered with gel combination electrode."
221,"Digital Conductivity / TDS Meter","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Conductivity/TDS","Range: 0.01 µS/cm to 200.0 mS/cm with platinum cell."
222,"UV-Visible Spectrophotometer (Single Beam 190–1100 nm)","Equipment","Optical/Electronic","Optical/Electronic","1","unit","Cupboard 1 (40)","Spectroscopic","Digital display, 4-cell holder with 10mm quartz cuvettes."
223,"Visible Spectrophotometer / Colorimeter (340–1000 nm)","Equipment","Optical/Electronic","Optical/Electronic","2","units","Cupboard 1 (40)","Colorimetric","Microprocessor based filter colorimeter."
224,"Quartz Cuvettes 10 mm Pathlength (Matched Pair)","Equipment","Fused Quartz","Fused Quartz","4","pairs","Cupboard 1 (40)","UV-Grade Quartz","Transmission: 190–2500 nm, 3.5 mL volume."
225,"Optical Glass Cuvettes 10 mm Pathlength (Matched Pair)","Equipment","Optical Glass","Optical Glass","6","pairs","Cupboard 1 (40)","Visible Range","Transmission: 320–2500 nm."
226,"Digital Melting Point Apparatus (Up to 300°C)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Capillary Method","Digital temperature sensor, illuminated viewing magnifier."
227,"Abbe Refractometer (nD 1.3000 to 1.7000 / Brix 0–95%)","Equipment","Optical","Optical","1","unit","Cupboard 1 (40)","Precision Optical","With built-in temperature jacket and calibration test piece."
228,"Polarimeter (Manual Disc / Sodium Lamp 589 nm)","Equipment","Optical","Optical","1","unit","Cupboard 1 (40)","Optical Rotation","Vernier scale 0.05°, with 100mm and 200mm observation tubes."
229,"Magnetic Stirrer with Ceramic Hot Plate (380°C / 1500 RPM)","Equipment","Electronic","Electronic","4","units","Cupboard 1 (55)","Digital Controlled","White ceramic top plate with PT1000 temperature probe."
230,"Compact Magnetic Stirrer (Non-Heating 2000 RPM)","Equipment","Electronic","Electronic","3","units","Cupboard 1 (55)","Variable Speed","Stepless speed control up to 3 Litres capacity."
231,"Vortex Mixer (Touch / Continuous Mode 3000 RPM)","Equipment","Electromechanical","Electromechanical","3","units","Cupboard 1 (55)","Heavy Duty","Rubber cup head and universal platform attachment."
232,"Ultrasonic Bath / Sonicator 3 Litres (with Heater & Timer)","Equipment","Electromechanical","Electromechanical","1","unit","Cupboard 1 (55)","40 kHz Ultrasound","Stainless steel tank, degas function and basket."
233,"Benchtop Centrifuge 8 x 15 mL (4000 RPM / 2147 x g)","Equipment","Electromechanical","Electromechanical","2","units","Cupboard 1 (55)","Fixed Angle Rotor","Digital timer, safety lid interlock, 8-tube angle rotor."
234,"Micro-Centrifuge 12 x 1.5/2.0 mL (13,500 RPM)","Equipment","Electromechanical","Electromechanical","1","unit","Cupboard 1 (55)","High Speed Micro","Pulse button for quick spin, brushless motor."
235,"Heating Mantle 250 mL (with Built-in Controller)","Equipment","Electric","Electric","3","units","Cupboard 1 (55)","Knitted Glass Fabric","Thermal insulation, up to 450°C surface temperature."
236,"Heating Mantle 500 mL (with Built-in Controller)","Equipment","Electric","Electric","3","units","Cupboard 1 (55)","Knitted Glass Fabric","Even hemispherical heating for round bottom flasks."
237,"Heating Mantle 1000 mL (with Built-in Controller)","Equipment","Electric","Electric","2","units","Cupboard 1 (55)","Knitted Glass Fabric","1L capacity mantle heater."
238,"Thermostatic Water Bath 6 Litres (Ambient to 100°C)","Equipment","Electric","Electric","2","units","Cupboard 1 (55)","Stainless Steel","Digital PID controller with concentric ring lid."
239,"Laboratory Drying Oven (Ambient +5°C to 250°C / 30L)","Equipment","Electric","Electric","1","unit","Cupboard 1 (55)","Forced Air Convection","Stainless interior with two perforated shelves."
240,"Muffle Furnace (Up to 1100°C / Ceramic Chamber)","Equipment","Electric","Electric","1","unit","Cupboard 1 (55)","High Temp Ashing","Microprocessor programmer with thermocouple sensor."
241,"Oil-Free Diaphragm Vacuum Pump (25 L/min / 100 mbar)","Equipment","Electromechanical","Electromechanical","2","units","Cupboard 1 (55)","PTFE Coated","Chemical resistant diaphragm for vacuum filtration and rotary evaporators."
242,"Water Jet Aspirator Vacuum Pump (Polypropylene)","Equipment","Polypropylene","Polypropylene","6","pcs","Cupboard 1 (55)","Corrosion Free","With non-return check valve, connects to lab faucet."
243,"UV Inspection Lamp (Dual Wavelength 254 nm / 365 nm)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (55)","Short/Long UV","For TLC plate visualization and fluorescent analysis."
244,"Micropipette 0.5–10 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","2","pcs","Cupboard 1 (67)","Autoclavable","Precision micro volume pipettor with volume lock."
245,"Micropipette 2–20 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","3","pcs","Cupboard 1 (67)","Autoclavable","Universal tip fitting, ergonomic finger rest."
246,"Micropipette 20–200 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","4","pcs","Cupboard 1 (67)","Autoclavable","Standard laboratory volume pipettor."
247,"Micropipette 100–1000 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","4","pcs","Cupboard 1 (67)","Autoclavable","High precision 1mL adjustable micropipette."
248,"Micropipette 1–5 mL Macro Volume Pipettor","Equipment","Mechanical","Mechanical","2","pcs","Cupboard 1 (67)","Macro Pipette","Includes macro tip adapters."
249,"Electronic Motorized Pipette Filler (0.1–100 mL)","Equipment","Battery Powered","Battery Powered","2","units","Cupboard 1 (67)","Rechargeable Li-Ion","Speed control trigger with 0.45 µm membrane filter."
250,"Rubber 3-Way Pipette Bulb (Standard Red)","Equipment","Natural Rubber","Natural Rubber","10","pcs","Cupboard 1 (67)","Safety Suction Bulb","Three glass ball valves for aspirate, dispense, and drain."
251,"Pipette Pump / Pi-Pump 10 mL (Green)","Equipment","Plastic","Plastic","8","pcs","Cupboard 1 (67)","Thumbwheel Control","Rapid release lever with knurled thumbwheel."
252,"Pipette Pump / Pi-Pump 25 mL (Red)","Equipment","Plastic","Plastic","8","pcs","Cupboard 1 (67)","Thumbwheel Control","Thumbwheel aspirator for large volume serological pipettes."
253,"Micropipette Tips 10 µL White (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","10","racks","Cupboard 1 (67)","DNase/RNase Free","Autoclavable micro tips in hinged rack."
254,"Micropipette Tips 200 µL Yellow (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","15","racks","Cupboard 1 (67)","Universal Fit","Graduated yellow tips in polypropylene rack."
255,"Micropipette Tips 1000 µL Blue (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","12","racks","Cupboard 1 (67)","Universal Fit","Graduated blue tips in polypropylene box."
256,"Microcentrifuge Tubes 1.5 mL Graduated (Box of 500)","Equipment","PP (Polypropylene)","PP (Polypropylene)","5","boxes","Cupboard 1 (67)","Boil-Proof Lock","Safe-lock snap cap with frosted writing area."
257,"Centrifuge Tubes 15 mL Conical Polypropylene (Rack of 50)","Equipment","PP (Polypropylene)","PP (Polypropylene)","6","racks","Cupboard 1 (67)","Sterile / Graduated","Screw cap, conical bottom, 12,000 x g rated."
258,"Centrifuge Tubes 50 mL Conical Polypropylene (Rack of 25)","Equipment","PP (Polypropylene)","PP (Polypropylene)","6","racks","Cupboard 1 (67)","Sterile / Graduated","High clarity tube with printed scale and writing patch."
259,"Heavy Cast Iron Retort Stand Base (200 x 125 mm) with Rod (600 mm)","Equipment","Cast Iron / Steel","Cast Iron / Steel","12","sets","Cupboard 1 (55)","Corrosion Resistant","Heavy rectangular base with chrome plated steel rod."
260,"Four-Prong Swivel Extension Clamp (Cork Lined)","Equipment","Alloy / Cork","Alloy / Cork","15","pcs","Cupboard 1 (55)","Universal Clamp","360 degree swivel head for apparatus holding."
261,"Three-Prong Dual Adjust Extension Clamp (Vinyl Lined)","Equipment","Diecast Alloy","Diecast Alloy","15","pcs","Cupboard 1 (55)","Dual Screw","Independently adjustable jaws for glassware protection."
262,"Burette Clamp Double (Plastic Coated Spring Steel)","Equipment","Steel / Polypropylene","Steel / Polypropylene","8","pcs","Cupboard 1 (55)","Double Titration","Holds two burettes simultaneously without obscuring graduations."
263,"Burette Clamp Single (Diecast Aluminum)","Equipment","Aluminum Alloy","Aluminum Alloy","10","pcs","Cupboard 1 (55)","Single Clamp","Spring loaded jaw for secure burette holding."
264,"Bosshead / Clamp Holder (Right Angle Cast Iron)","Equipment","Cast Iron / Brass","Cast Iron / Brass","25","pcs","Cupboard 1 (55)","Standard 16 mm","Offset screws for clamping rods up to 16 mm diameter."
265,"Retort Ring 75 mm Diameter with Extension Arm","Equipment","Mild Steel","Mild Steel","10","pcs","Cupboard 1 (55)","Zinc Plated","For supporting funnels, water baths, and beakers."
266,"Retort Ring 100 mm Diameter with Bosshead","Equipment","Mild Steel","Mild Steel","8","pcs","Cupboard 1 (55)","Integrated Bosshead","Direct clamp support ring."
267,"Cast Iron Tripod Stand (Height 200 mm, Ring 125 mm)","Equipment","Cast Iron","Cast Iron","12","pcs","Cupboard 1 (55)","Heavy Duty","Stable three-leg stand for Bunsen burner heating."
268,"Ceramic Centered Wire Gauze (150 x 150 mm)","Equipment","Galvanized Steel/Ceramic","Steel/Ceramic","20","pcs","Cupboard 1 (55)","Heat Diffuser","Asbestos-free ceramic core for even heat distribution."
269,"Clay Pipe Triangle 50 mm (Silica Pipe)","Equipment","Ceramic / Steel Wire","Ceramic / Steel Wire","15","pcs","Cupboard 1 (55)","High Temp Support","Pipeclay triangle for holding crucibles over flame."
